direction,header,value,algorithm,library,severity,url
"RESPONSE","strict-transport-security","","","","HIGH","https://app.neilpatel.com/en/register/?mpsource=signup_popup"
"RESPONSE","x-content-type-options","","","","MEDIUM","https://app.neilpatel.com/en/register/?mpsource=signup_popup"
"RESPONSE","server","AmazonS3","","","LOW",""
"RESPONSE","strict-transport-security","","","","HIGH","https://app.neilpatel.com/assets/index-C2jqyrqU.css"
"RESPONSE","x-content-type-options","","","","MEDIUM","https://app.neilpatel.com/assets/index-C2jqyrqU.css"
"RESPONSE","server","AmazonS3","","","LOW",""
"RESPONSE","content-security-policy","","","","HIGH","https://static.zdassets.com/ekr/snippet.js?key=fb916b7d-48ea-4f54-a836-ece41c533"
"RESPONSE","x-frame-options","","","","MEDIUM","https://static.zdassets.com/ekr/snippet.js?key=fb916b7d-48ea-4f54-a836-ece41c533"
"RESPONSE","x-content-type-options","","","","MEDIUM","https://static.zdassets.com/ekr/snippet.js?key=fb916b7d-48ea-4f54-a836-ece41c533"
"RESPONSE","access-control-allow-origin","","","","HIGH","https://static.zdassets.com/ekr/snippet.js?key=fb916b7d-48ea-4f54-a836-ece41c533"
"RESPONSE","server","cloudflare","","","LOW",""
"RESPONSE","strict-transport-security","","","","HIGH","https://js.recurly.com/v4/recurly.js"
"RESPONSE","content-security-policy","","","","HIGH","https://js.recurly.com/v4/recurly.js"
"RESPONSE","x-frame-options","","","","MEDIUM","https://js.recurly.com/v4/recurly.js"
"RESPONSE","x-content-type-options","","","","MEDIUM","https://js.recurly.com/v4/recurly.js"
"RESPONSE","server","nginx","","","LOW",""
"RESPONSE","content-security-policy","","","","HIGH","https://fonts.googleapis.com/css2?family=Noto+Sans+JP:wght@300;400;500;700;900&f"
"RESPONSE","access-control-allow-origin","","","","HIGH","https://fonts.googleapis.com/css2?family=Noto+Sans+JP:wght@300;400;500;700;900&f"
"RESPONSE","server","ESF","","","LOW",""
"RESPONSE","strict-transport-security","","","","HIGH","https://js-eu1.hs-scripts.com/25525864.js"
"RESPONSE","content-security-policy","","","","HIGH","https://js-eu1.hs-scripts.com/25525864.js"
"RESPONSE","x-frame-options","","","","MEDIUM","https://js-eu1.hs-scripts.com/25525864.js"
"RESPONSE","server","cloudflare","","","LOW",""
"RESPONSE","strict-transport-security","","","","HIGH","https://app.neilpatel.com/assets/index-BkRdpDGn.js"
"RESPONSE","x-content-type-options","","","","MEDIUM","https://app.neilpatel.com/assets/index-BkRdpDGn.js"
"RESPONSE","server","AmazonS3","","","LOW",""
"RESPONSE","content-security-policy","","","","HIGH","https://ekr.zdassets.com/compose/fb916b7d-48ea-4f54-a836-ece41c533df8"
"RESPONSE","access-control-allow-origin","","","","HIGH","https://ekr.zdassets.com/compose/fb916b7d-48ea-4f54-a836-ece41c533df8"
"RESPONSE","server","cloudflare","","","LOW",""
"RESPONSE","strict-transport-security","","","","HIGH","https://app.neilpatel.com/site.webmanifest"
"RESPONSE","x-content-type-options","","","","MEDIUM","https://app.neilpatel.com/site.webmanifest"
"RESPONSE","server","AmazonS3","","","LOW",""
"RESPONSE","content-security-policy","","","","HIGH","https://static.hotjar.com/c/hotjar-5290286.js?sv=6"
"RESPONSE","x-frame-options","","","","MEDIUM","https://static.hotjar.com/c/hotjar-5290286.js?sv=6"
"RESPONSE","access-control-allow-origin","","","","HIGH","https://static.hotjar.com/c/hotjar-5290286.js?sv=6"
"RESPONSE","strict-transport-security","","","","HIGH","https://app.neilpatel.com/api/get_token"
"RESPONSE","content-security-policy","","","","HIGH","https://app.neilpatel.com/api/get_token"
"RESPONSE","x-frame-options","","","","MEDIUM","https://app.neilpatel.com/api/get_token"
"RESPONSE","x-content-type-options","","","","MEDIUM","https://app.neilpatel.com/api/get_token"
"RESPONSE","strict-transport-security","","","","HIGH","https://www.googletagmanager.com/gtm.js?id=GTM-WMJBH6Z"
"RESPONSE","content-security-policy","","","","HIGH","https://www.googletagmanager.com/gtm.js?id=GTM-WMJBH6Z"
"RESPONSE","x-frame-options","","","","MEDIUM","https://www.googletagmanager.com/gtm.js?id=GTM-WMJBH6Z"
"RESPONSE","x-content-type-options","","","","MEDIUM","https://www.googletagmanager.com/gtm.js?id=GTM-WMJBH6Z"
"RESPONSE","access-control-allow-origin","","","","HIGH","https://www.googletagmanager.com/gtm.js?id=GTM-WMJBH6Z"
"RESPONSE","server","Google Tag Manager","","","LOW",""
"RESPONSE","strict-transport-security","","","","HIGH","https://ubersuggest.us1app.churnzero.net/churnzero.js"
"RESPONSE","content-security-policy","","","","HIGH","https://ubersuggest.us1app.churnzero.net/churnzero.js"
"RESPONSE","x-frame-options","","","","MEDIUM","https://ubersuggest.us1app.churnzero.net/churnzero.js"
"RESPONSE","x-content-type-options","","","","MEDIUM","https://ubersuggest.us1app.churnzero.net/churnzero.js"
"RESPONSE","content-security-policy","","","","HIGH","https://load.d.neilpatel.com/3cb1bwbylavu.js?5rpwx2u=HBJcKy0vWjU4PCMkTzhRFEhET11"
"RESPONSE","x-frame-options","","","","MEDIUM","https://load.d.neilpatel.com/3cb1bwbylavu.js?5rpwx2u=HBJcKy0vWjU4PCMkTzhRFEhET11"
"RESPONSE","access-control-allow-origin","","","","HIGH","https://load.d.neilpatel.com/3cb1bwbylavu.js?5rpwx2u=HBJcKy0vWjU4PCMkTzhRFEhET11"
"RESPONSE","server","cloudflare","","","LOW",""
"RESPONSE","strict-transport-security","","","","HIGH","https://js-eu1.hsadspixel.net/pixels.js"
"RESPONSE","content-security-policy","","","","HIGH","https://js-eu1.hsadspixel.net/pixels.js"
"RESPONSE","x-frame-options","","","","MEDIUM","https://js-eu1.hsadspixel.net/pixels.js"
"RESPONSE","server","cloudflare","","","LOW",""
"RESPONSE","strict-transport-security","","","","HIGH","https://app.neilpatel.com/api/geolocation"
"RESPONSE","content-security-policy","","","","HIGH","https://app.neilpatel.com/api/geolocation"
"RESPONSE","x-frame-options","","","","MEDIUM","https://app.neilpatel.com/api/geolocation"
"RESPONSE","x-content-type-options","","","","MEDIUM","https://app.neilpatel.com/api/geolocation"
"RESPONSE","strict-transport-security","","","","HIGH","https://js-eu1.hs-banner.com/v2/25525864/banner.js"
"RESPONSE","content-security-policy","","","","HIGH","https://js-eu1.hs-banner.com/v2/25525864/banner.js"
"RESPONSE","x-frame-options","","","","MEDIUM","https://js-eu1.hs-banner.com/v2/25525864/banner.js"
"RESPONSE","x-content-type-options","","","","MEDIUM","https://js-eu1.hs-banner.com/v2/25525864/banner.js"
"RESPONSE","access-control-allow-origin","","","","HIGH","https://js-eu1.hs-banner.com/v2/25525864/banner.js"
"RESPONSE","server","cloudflare","","","LOW",""
"RESPONSE","strict-transport-security","","","","HIGH","https://sentry.neilpatelapi.com/api/3/envelope/?sentry_version=7&sentry_key=c084"
"RESPONSE","content-security-policy","","","","HIGH","https://sentry.neilpatelapi.com/api/3/envelope/?sentry_version=7&sentry_key=c084"
"RESPONSE","x-frame-options","","","","MEDIUM","https://sentry.neilpatelapi.com/api/3/envelope/?sentry_version=7&sentry_key=c084"
"RESPONSE","x-content-type-options","","","","MEDIUM","https://sentry.neilpatelapi.com/api/3/envelope/?sentry_version=7&sentry_key=c084"
"RESPONSE","access-control-allow-origin","","","","HIGH","https://sentry.neilpatelapi.com/api/3/envelope/?sentry_version=7&sentry_key=c084"
"RESPONSE","server","nginx","","","LOW",""
"RESPONSE","content-security-policy","","","","HIGH","https://www.googletagmanager.com/gtm.js?id=GTM-WMJBH6Z"
"RESPONSE","x-frame-options","","","","MEDIUM","https://www.googletagmanager.com/gtm.js?id=GTM-WMJBH6Z"
"RESPONSE","x-content-type-options","","","","MEDIUM","https://www.googletagmanager.com/gtm.js?id=GTM-WMJBH6Z"
"RESPONSE","access-control-allow-origin","","","","HIGH","https://www.googletagmanager.com/gtm.js?id=GTM-WMJBH6Z"
"RESPONSE","server","Google Tag Manager","","","LOW",""
"RESPONSE","strict-transport-security","","","","HIGH","https://js-eu1.hs-analytics.net/analytics/1773400200000/25525864.js"
"RESPONSE","content-security-policy","","","","HIGH","https://js-eu1.hs-analytics.net/analytics/1773400200000/25525864.js"
