name,value_preview,algorithm,library,vendor,encoding,confidence,source,url,secure,httpOnly,sameSite,issues,value_source,decoded_preview
"__mh_tt_s","HB-ET_b7f661451a094bc8f32b1835c3c38e025873573ea912ebfd424dee5834a52ccd","HB-{prefix}+SHA256(device_fingerprint)","UTS Universal Tracking Script","None","text","90","BROWSER","","True","False","None","","Unknown (may be server-side only)",""
"NID","529=i4Y0NCNFCIrwJ7qmjm9RYiJW2o4wHL1rTHEoejAtVa2snVbDuHrJLtpPz0pL1O9VsofgNP5OnNkj","UNKNOWN","None","None","text","0","BROWSER","","True","True","None","","Unknown (may be server-side only)",""
"__cf_bm","buCL6qIRKa9IfPIgJ6xMmY7rDMdcNGQo6YpZ4VVOvBE-1773407401-1.0.1.1-og4GMK.UHmON1jbuw","AES-encrypted bot score","Cloudflare Bot","cloudflare.com","text","95","BROWSER","","True","True","None","","Unknown (may be server-side only)",""
"_gcl_au","1.1.963665120.1773407402","1.1.{rand}.{timestamp}","Google GTM","google.com","text","95","BROWSER","","False","False","","","JS Set: at HTMLDocument.set (<anonymous>:99:21) line 99",""
"external_id","95331a33-3470-4960-869d-08c43240dba1","UUID v4 — crypto.randomUUID (آمن)","None","None","UUID v4","95","BROWSER","","False","False","","","JS Set: at HTMLDocument.set (<anonymous>:99:21) line 99",""
"_gid","GA1.2.1333039866.1773407402","GA{ver}.{domain_hash}.{random}.{timestamp}","Google Analytics","google.com","GA Format","99","BROWSER","","False","False","","","JS Set: at HTMLDocument.set (<anonymous>:99:21) line 99",""
"_hjSessionUser_5290286","eyJpZCI6IjhlZDgyMThhLTdlZjItNTY1Mi05YzAzLTI3NDgxMmJmN2ZiZCIsImNyZWF0ZWQiOjE3NzM0","Base64(JSON)","Hotjar","hotjar.com","Base64","95","BROWSER","","True","False","None","","JS Set: at HTMLDocument.set (<anonymous>:99:21) line 99","{"id":"8ed8218a-7ef2-5652-9c03-274812bf7fbd","created":1773407401938,"existing":"
"_hjSession_5290286","eyJpZCI6IjJlYTY5N2IwLTk3NzgtNDJjYy05ZjViLTFkMTI0MjQxYjU0NiIsImMiOjE3NzM0MDc0MDE5","Base64(JSON)","Hotjar","hotjar.com","Base64","95","BROWSER","","True","False","None","","JS Set: at HTMLDocument.set (<anonymous>:99:21) line 99","{"id":"2ea697b0-9778-42cc-9f5b-1d124241b546","c":1773407401939,"s":0,"r":0,"sb":"
"_ttp","3AtMR6Zn5q81wmLBTnY2fJoSK5u","URL-safe Base64 token","TikTok Pixel","tiktok.com","text","95","BROWSER","","True","False","None","","JS Set: at HTMLDocument.set (<anonymous>:99:21) line 99",""
"_dcid","dcid.1.1773407402188.384345742","dcid.1.{timestamp}.{rand}","DoubleClick","doubleclick.net","text","95","BROWSER","","True","False","Lax","","Unknown (may be server-side only)",""
