[13:09:58.372] START                     chrome://newtab/
[13:09:59.520] REQ                       GET https://app.neilpatel.com/en/register?mpsource=signup_popup
[13:09:59.882] REQ                       GET https://app.neilpatel.com/en/register/?mpsource=signup_popup
[13:10:00.065] RESP                      200 https://app.neilpatel.com/en/register/?mpsource=signup_popup
[13:10:00.080] REQ                       GET https://static.zdassets.com/ekr/snippet.js?key=fb916b7d-48ea-4f54-a836-ece41c533df8
[13:10:00.081] REQ                       GET https://js-eu1.hs-scripts.com/25525864.js
[13:10:00.082] REQ                       GET https://js.recurly.com/v4/recurly.js
[13:10:00.082] REQ                       GET https://fonts.googleapis.com/css2?family=Noto+Sans+JP:wght@300;400;500;700;900&family=Noto
[13:10:00.082] REQ                       GET https://app.neilpatel.com/assets/index-BkRdpDGn.js
[13:10:00.082] REQ                       GET https://app.neilpatel.com/assets/index-C2jqyrqU.css
[13:10:00.085] REQ                       GET https://load.d.neilpatel.com/3cb1bwbylavu.js?5rpwx2u=HBJcKy0vWjU4PCMkTzhRFEhET11fBhlfGxMIA
[13:10:00.085] REQ                       GET https://www.googletagmanager.com/gtm.js?id=GTM-WMJBH6Z
[13:10:00.269] RESP                      200 https://app.neilpatel.com/assets/index-C2jqyrqU.css
[13:10:00.474] RESP                      200 https://static.zdassets.com/ekr/snippet.js?key=fb916b7d-48ea-4f54-a836-ece41c533
[13:10:00.477] JS_SAVED                  .com/ekr/snippet.js?key=fb916b7d-48ea-4f54-a836-ece41c533df8 (None)
[13:10:00.477] REQ                       GET https://ekr.zdassets.com/compose/fb916b7d-48ea-4f54-a836-ece41c533df8
[13:10:00.477] REQ                       GET https://static.hotjar.com/c/hotjar-5290286.js?sv=6
[13:10:00.477] REQ                       GET https://ubersuggest.us1app.churnzero.net/churnzero.js
[13:10:00.477] REQ                       GET https://app.neilpatel.com/site.webmanifest
[13:10:00.643] RESP                      200 https://js.recurly.com/v4/recurly.js
[13:10:00.707] JS_SAVED                  https://js.recurly.com/v4/recurly.js (None)
[13:10:00.708] RESP                      200 https://fonts.googleapis.com/css2?family=Noto+Sans+JP:wght@300;400;500;700;900&f
[13:10:00.759] RESP                      200 https://js-eu1.hs-scripts.com/25525864.js
[13:10:00.761] JS_SAVED                  https://js-eu1.hs-scripts.com/25525864.js (None)
[13:10:00.773] REQ                       GET https://js-eu1.hs-analytics.net/analytics/1773400200000/25525864.js
[13:10:00.773] REQ                       GET https://js-eu1.hs-banner.com/v2/25525864/banner.js
[13:10:00.773] REQ                       GET https://js-eu1.hsadspixel.net/pixels.js
[13:10:00.853] RESP                      200 https://app.neilpatel.com/assets/index-BkRdpDGn.js
[13:10:01.500] JS_SAVED                  https://app.neilpatel.com/assets/index-BkRdpDGn.js (None)
[13:10:01.501] REQ                       POST https://sentry.neilpatelapi.com/api/3/envelope/?sentry_version=7&sentry_key=c084f2fb6256c9
[13:10:01.501] REQ                       GET https://www.googletagmanager.com/gtm.js?id=GTM-WMJBH6Z
[13:10:01.501] REQ                       GET https://app.neilpatel.com/api/get_token
[13:10:01.564] RESP                      200 https://ekr.zdassets.com/compose/fb916b7d-48ea-4f54-a836-ece41c533df8
[13:10:01.564] RESP                      200 https://app.neilpatel.com/site.webmanifest
[13:10:01.590] REQ                       GET https://www.google.com/recaptcha/api.js
[13:10:01.590] RESP                      200 https://static.hotjar.com/c/hotjar-5290286.js?sv=6
[13:10:01.636] JS_SAVED                  https://static.hotjar.com/c/hotjar-5290286.js?sv=6 (Hotjar (Session Recording))
[13:10:01.645] REQ                       GET https://static.zdassets.com/web_widget/messenger/latest/web-widget-main-d1c461b.js
[13:10:01.645] RESP                      200 https://app.neilpatel.com/api/get_token
[13:10:01.645] REQ                       GET https://app.neilpatel.com/api/geolocation
[13:10:01.646] REQ                       GET https://script.hotjar.com/modules.ddd41caee2adfc4aedb8.js
[13:10:01.646] RESP                      200 https://www.googletagmanager.com/gtm.js?id=GTM-WMJBH6Z
[13:10:01.646] RESP                      200 https://ubersuggest.us1app.churnzero.net/churnzero.js
[13:10:01.683] JS_SAVED                  https://ubersuggest.us1app.churnzero.net/churnzero.js (None)
[13:10:01.684] RESP                      200 https://load.d.neilpatel.com/3cb1bwbylavu.js?5rpwx2u=HBJcKy0vWjU4PCMkTzhRFEhET11
[13:10:01.787] JS_SAVED                  x2u=HBJcKy0vWjU4PCMkTzhRFEhET11fBhlfGxMIAAkDAwcZWAIDFA%3D%3D (Cloudflare Bot Script)
[13:10:01.788] RESP                      200 https://js-eu1.hsadspixel.net/pixels.js
[13:10:01.893] JS_SAVED                  https://js-eu1.hsadspixel.net/pixels.js (None)
[13:10:01.893] RESP                      200 https://app.neilpatel.com/api/geolocation
[13:10:01.893] REQ                       GET https://app.neilpatel.com/api/user?preferred_locale=en&city=New%20York&country=United%20St
[13:10:01.911] REQ                       HEAD https://analytics.google.com/g/collect?a=adblocker_check
[13:10:01.911] RESP                      200 https://js-eu1.hs-banner.com/v2/25525864/banner.js
[13:10:01.916] JS_SAVED                  https://js-eu1.hs-banner.com/v2/25525864/banner.js (None)
[13:10:01.916] REQ                       GET https://api-eu1.hubapi.com/hs-script-loader-public/v2/config/pixels-and-events/json?portal
[13:10:01.916] RESP                      200 https://sentry.neilpatelapi.com/api/3/envelope/?sentry_version=7&sentry_key=c084
[13:10:01.916] REQ                       GET https://load.d.neilpatel.com/gtag/js?id=AW-348714864&cx=c&gtm=4e63b1
[13:10:01.916] REQ                       GET https://www.clarity.ms/tag/add?ref=gtm
[13:10:01.916] REQ                       GET https://connect.facebook.net/en_US/fbevents.js
[13:10:01.916] REQ                       GET https://dev.visualwebsiteoptimizer.com/j.php?a=500967&u=https%3A%2F%2Fapp.neilpatel.com%2F
